"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Wer erteilt neben der zuständigen Stelle des Bundes das UBI?";"Bundesnetzagentur (BNetzA) und Bundesamt für Seeschifffahrt und Hydrographie (BSH)";"Wasserstraßen- und Schifffahrtsamt (WSA) und Bundesnetzagentur (BNetzA)";"Prüfungsausschüsse von DMYV und DSV";"ZVST und GDWS";"Prüfungsausschüsse von DMYV und DSV"
"Welches Funkzeugnis berechtigt nicht zur Teilnahme am GMDSS?";"Allgemeines Funkbetriebszeugnis (LRC)";"Allgemeines Betriebszeugnis für Funker (GOC)";"Beschränkt Gültiges Funkbetriebszeugnis (SRC)";"UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)";"UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)"
"Welches Funkzeugnis berechtigt nicht zur Teilnahme am Binnenschifffahrtsfunk?";"Beschränkt gültiges Betriebszeugnis für Funker I (BZ I)";"UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)";"Allgemeines Sprechfunkzeugnis für den Seefunkdienst";"Amateurfunkzeugnis";"Amateurfunkzeugnis"
"Worauf ist bei der Teilnahme am Binnenschifffahrtsfunk in anderen Ländern zu achten?";"Bestimmungen der EU-Kommission";"Bestimmungen der Binnenschifffahrtsstraßenordnung";"Bestimmungen der Binnenschifffahrt-Sprechfunkverordnung";"Bestimmungen im Regionalen Teil des Handbuchs Binnenschifffahrtsfunk";"Bestimmungen im Regionalen Teil des Handbuchs Binnenschifffahrtsfunk"
"Wo findet man grundsätzliche Bestimmungen über den Sprechfunk auf den jeweiligen Bundeswasserstraßen?";"Schifffahrtspolizeiverordnungen";"Binnenschiffsuntersuchungsordnung";"Binnenschifffahrt-Sprechfunkverordnung";"Binnenschifffahrtspatentverordnung";"Schifffahrtspolizeiverordnungen"
"Wo findet man Angaben über die Ausrüstungspflicht mit Funkanlagen auf Binnenschiffen?";"Schiffssicherheitsverordnung";"Binnenschifffahrtstraßenordnung";"Binnenschifffahrt-Sprechfunkverordnung";"Binnenschifferpatentverordnung";"Binnenschifffahrt-Sprechfunkverordnung"
"Wo findet man Angaben über die Funkbenutzungspflicht für Fahrzeuge auf bestimmten Binnenschifffahrtsstraßen?";"Binnenschifferpatentverordnung";"Binnenschifffahrt-Sprechfunkverordnung";"Allgemeiner Teil des Handbuchs Binnenschifffahrtsfunk";"Regionale Teile des Handbuchs Binnenschifffahrtsfunk";"Regionale Teile des Handbuchs Binnenschifffahrtsfunk"
"Das Abhörverbot und das Fernmeldegeheimnis sind geregelt…";"im Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen (FTEG)";"in der Schiffssicherheitsverordnung (SchSV)";"in der Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV)";"im Telekommunikationsgesetz (TKG)";"im Telekommunikationsgesetz (TKG)"
"Was unterliegt dem Fernmeldegeheimnis?";"Inhalt und Umstände des Funkverkehrs, insbesondere ob jemand beteiligt ist oder war";"Inhalt und Umstände nur bei Not-, Dringlichkeits- und Sicherheitsverkehr";"Inhalt und Umstände nur bei Nachrichten mit Revierzentrale";"Inhalt und Umstände, insbesondere konkrete Daten wie der ATIS-Code";"Inhalt und Umstände des Funkverkehrs, insbesondere ob jemand beteiligt ist oder war"
"Welche Nachrichten dürfen uneingeschränkt aufgenommen und verbreitet werden?";"Aussendungen im Verkehrskreis Funkverkehr an Bord";"Aussendungen, die An alle Funkstellen gerichtet sind";"Aussendungen des Öffentlichen Nachrichtenaustauschs";"Alle Aussendungen im Binnenschifffahrtsfunk";"Aussendungen, die An alle Funkstellen gerichtet sind"
"Welche Folgen kann die Verletzung des Fernmeldegeheimnisses haben?";"Schriftliche Verwarnung";"Einzug der Funkanlage";"Strafrechtliche Verfolgung";"Ordnungswidrigkeitsverfahren";"Strafrechtliche Verfolgung"
"Welchen Frequenzbereich nutzt der Binnenschifffahrtsfunk?";"Langwelle (LW/LF)";"Ultrakurzwelle (UKW/VHF)";"Grenzwelle (GW/MF)";"Kurzwelle (KW/HF)";"Ultrakurzwelle (UKW/VHF)"
"Wie breiten sich Ultrakurzwellen aus?";"In der Ionosphäre reflektiert";"Der Erdkrümmung folgend bis weit hinter den Horizont";"Abhängig von der Tageszeit";"Geradlinig und quasioptisch";"Geradlinig und quasioptisch"
"Welche Faktoren können die Ausbreitung der Ultrakurzwellen beeinflussen?";"Tag- und Nachtschwankungen";"Niederschläge, z. B. Schnee- oder Regenschauer";"Kurs und Geschwindigkeit des Schiffes";"Hindernisse, z. B. Berge oder hohe Bauwerke";"Hindernisse, z. B. Berge oder hohe Bauwerke"
