Weather;Wetter
benötigen dringend ärztliche Hilfe;require urgent medical assistance
Kollision mit Fischereifahrzeug;collision with fishing vessel
Yacht sinkt nach Wassereinbruch;yacht is sinking after flooding
Der US Küstenwache berichten;report to US Coast Guard
Gebrochener Mast;broken mast
Ruderschaden;damaged rudder
an Bord;on board
an Lyngby Radio berichten;report to Lyngby Radio
ankern;to anchor
auf der Route;on this route
Backbord;port side
bisher nicht eingetroffen;not yet arrived
dringend;urgent
empfangen;received
Fischereigeschirr benutzen;use fishing gear
fortgeführt;in progress
Gebiet;area
Kurs;course
mögliche Hilfeleistung;possible assistance
Nachrichten für Seefahrer;notices to mariners
Ortszeit;local time
Position;position
rasch zunehmend;rapidly increasing
Regen;rain
Rettungsfloß;liferaft
rot gestrichene;red painted
Schlepperhilfe;tug assistance
Seenotleitung;MRCC
sinken;sinking
Stärke;force
Überlebende;survivors
US Küstenwache;US Coast Guard
Verkehrstrennungsgebiet;traffic separation scheme
werden gebeten;are requested
weder noch;neither … nor …
zwei Personen;two persons
zwischen;between
12 m Länge;length 12 m
roter Rumpf;red hull
weiße Segel;white sails
Weiße Aufbauten;white superstructure
seit dem 16. Januar überfällig;overdue since January 16th
mehrere rot gestrichene 40-Fuß-Container;several drifting 40-feet containers, red painted
Aufschrift TEXASCON;marked with TEXASCON
Anker verloren;lost anchor
weder ankern noch Fischereigeschirr nutzen;neither to anchor nor to use fishing gear
Unterwasser-Kabelarbeiten;underwater cable operations
