Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was wird im Sprechfunk durch PAN PAN angekündigt?";"Sicherheitsmeldung";"Routinemeldung";"Notmeldung";"Dringlichkeitsmeldung";"Dringlichkeitsmeldung"
"Wie ist im GMDSS bei einer dringenden Meldung im UKW-Bereich zur Sicherheit einer Person zu verfahren?";"Ankündigung und Aussendung im Sprechfunk auf Kanal 16";"Ankündigung per DSC auf Kanal 70 und Aussendung im Sprechfunk auf Kanal 16";"Ankündigung im Sprechfunk und Aussendung auf Schiff-Schiff-Kanal";"Ankündigung per DSC und Aussendung auf Schiff-Schiff-Kanal";"Ankündigung per DSC auf Kanal 70 und Aussendung im Sprechfunk auf Kanal 16"
"Was bedeutet im DSC-Controller die Anzeige URGENCY?";"Notmeldung mit Hilfegesuch";"Dringende Meldung zur Sicherheit einer mobilen Einheit oder Person";"Wetterwarnung";"Anforderung nautischer Beratung";"Dringende Meldung zur Sicherheit einer mobilen Einheit oder Person"
"An wen dürfen Dringlichkeitsmeldungen grundsätzlich gerichtet werden?";"An alle Küstenfunkstellen oder MRCC";"An alle Funkstellen im Seegebiet A1";"An alle Funkstellen oder an eine bestimmte Funkstelle";"Nur an eine bestimmte Küstenfunkstelle";"An alle Funkstellen oder an eine bestimmte Funkstelle"
"Wie ist zu verfahren, wenn eine an alle Funkstellen gerichtete Dringlichkeitsmeldung erledigt ist?";"Aufhebung durch Meldung an alle Funkstellen";"Aufhebung nur bei Mensch-über-Bord";"Aufhebung durch Meldung an nächste Küstenfunkstelle";"Aufhebung durch SILENCE FINI";"Aufhebung durch Meldung an alle Funkstellen"
"Wie lautet das Sicherheitszeichen im Seefunkdienst?";"PAN PAN";"URGENCY";"SECURITE";"MAYDAY";"SECURITE"
"Welche Meldung wird mit SECURITE eingeleitet?";"Dringlichkeitsmeldung";"Notmeldung";"Routinemeldung";"Sicherheitsmeldung";"Sicherheitsmeldung"
"Welchen Inhalt kann eine Sicherheitsmeldung haben?";"Weiterleitung eines Notalarms";"Aufhebung einer Dringlichkeitsmeldung";"Wichtige nautische Warnnachricht oder wichtige Wetterwarnung";"Medico-Gespräch";"Wichtige nautische Warnnachricht oder wichtige Wetterwarnung"
"Welche UKW-Kanäle benutzen Sportfahrzeuge in deutschen Hoheitsgewässern vorzugsweise untereinander?";"Kanäle 06 oder 16";"Kanäle 10 oder 13";"Kanäle 69 oder 72";"Kanäle 69 oder 70";"Kanäle 69 oder 72"
"Für welche Verkehrsabwicklungen werden UKW-Handsprechfunkgeräte vorzugsweise verwendet?";"Schiff–Schiff und Schiff–SAR-Hubschrauber";"An Bord und Schiff–Hafen";"Mit Küstenfunkstellen und Überlebensfahrzeug";"An Bord und Schiff–Überlebensfahrzeug";"An Bord und Schiff–Überlebensfahrzeug"
"Was ist bei Testsendungen im Sprech-Seefunkdienst zu beachten?";"Nur einmal nach Einbau ohne Antenne";"Nur außerhalb der Hoheitsgewässer";"Maximal 10 Sekunden, mit Wort Test und Kennung des Schiffes";"Maximal 20 Sekunden mit Kennung";"Maximal 10 Sekunden, mit Wort Test und Kennung des Schiffes"
"Welche Betriebsart wird für den Schiff-Schiff-Verkehr auf UKW im Sprechfunk verwendet?";"Gegensprechen auf zwei Frequenzen";"Wechselsprechen auf zwei Frequenzen";"Gegensprechen auf einer Frequenz";"Wechselsprechen auf einer Frequenz";"Wechselsprechen auf einer Frequenz"
"Der UKW-Kanal 70 dient ausschließlich der Aussendung ...";"von Positionsmeldungen";"von Küstenfunkstellen";"des Digitalen Selektivrufs";"von Peilzeichen";"des Digitalen Selektivrufs"
"Welchen Zwecken dient der UKW-Kanal 16 im Seefunkdienst?";"Aussendung des digitalen Selektivrufs";"Funkverkehr zwischen Fischereifahrzeugen";"Notverkehr, Dringlichkeitsmeldung, Ankündigung von Sicherheitsmeldungen, Anrufkanal";"Routineverkehr und Anrufkanal";"Notverkehr, Dringlichkeitsmeldung, Ankündigung von Sicherheitsmeldungen, Anrufkanal"
"Auf welchem UKW-Kanal muss ein Sportfahrzeug mit GMDSS-Seefunkanlage auf See empfangsbereit sein?";"Kanal 69";"Kanal 72";"Kanal 16";"Kanal 70";"Kanal 16"
"Auf welchem UKW-Kanal sollte ein Sportfahrzeug mit UKW-Sprechfunkanlage auf See empfangsbereit sein?";"Kanal 70";"Kanal 06";"Kanal 69";"Kanal 16";"Kanal 16"
"Welcher UKW-Kanal ist vorzugsweise für Schiff-Schiff-Verkehr und koordinierte SAR-Einsätze vorgesehen?";"Kanal 10";"Kanal 72";"Kanal 16";"Kanal 06";"Kanal 06"
"Welchen Zwecken dienen Anrufkanal und Arbeitskanal?";"Anruf nur für Notfälle, Arbeitskanal für Routine";"Anruf für Reiseplanung, Arbeitskanal für Schleusen";"Anruf zur Verbindungsaufnahme, Arbeitskanal für weiteren Funkverkehr";"Anruf nur für Landkontakte";"Anruf zur Verbindungsaufnahme, Arbeitskanal für weiteren Funkverkehr"
"Auf welchem Kanal ist eine Küstenfunkstelle zu rufen, die auf Kanal 70, Kanal 16 und einem Arbeitskanal empfangsbereit ist?";"Kanal 70 oder Arbeitskanal";"Kanal 16 oder Arbeitskanal";"Kanal 70 oder Kanal 72";"Kanal 16 oder Kanal 70";"Kanal 16 oder Kanal 70"
"Auf welchem Kanal wird eine Küstenfunkstelle ohne DSC im Routineverkehr gerufen?";"Kanal 70";"Arbeitskanal";"Kanal 16";"Ankündigung auf Kanal 16, dann Wechsel zum Arbeitskanal";"Ankündigung auf Kanal 16, dann Wechsel zum Arbeitskanal"
"Was ist vor dem Anruf auf einem Arbeitskanal zu beachten?";"Geringste Sendeleistung einstellen";"Arbeitskanal muss freigegeben werden";"Laufender Funkverkehr darf nicht gestört werden";"Funkverkehr beenden lassen";"Laufender Funkverkehr darf nicht gestört werden"
